cars_cdm,cdm
ORG,ORG
TYPE,TYPE
APPLICATION,APPLICATION
AMRL_NBR_OF_ASSOCS,AMRL_NBR_OF_ASSOCS
AMRL_STATUS,AMRL_STATUS
AMRL_LAST_MAINT,AMRL_LAST_MAINT
AMRL_LAST_MAINT_OPER,AMRL_LAST_MAINT_OPER
AMRL_ACCEPT_DECLINE_IND,AMRL_ACCEPT_DECLINE_IND
AMRL_DECISION_DATE,AMRL_DECISION_DATE
AMRL_DECISION_OPER,AMRL_DECISION_OPER
AMRL_CREDIT_LIMIT,AMRL_CREDIT_LIMIT
AMRL_DATE_ENTERED_EDIT,AMRL_DATE_ENTERED_EDIT
AMRL_DATE_EXITED_EDIT,AMRL_DATE_EXITED_EDIT
AMRL_EDIT_OPER,AMRL_EDIT_OPER
AMRL_EDIT_STATUS,AMRL_EDIT_STATUS
AMRL_PRE_VAL_OPER,AMRL_PRE_VAL_OPER
AMRL_PRE_VAL_STATUS,AMRL_PRE_VAL_STATUS
AMRL_PRE_VAL_RESULT,AMRL_PRE_VAL_RESULT
AMRL_APP_SCORE_RESULT,AMRL_APP_SCORE_RESULT
AMRL_VERFICATION_OPER,AMRL_VERFICATION_OPER
AMRL_VERFICATION_STATUS,AMRL_VERFICATION_STATUS
AMRL_VERFICATION_RESULT,AMRL_VERFICATION_RESULT
AMRL_JUDGEMENT_OPER,AMRL_JUDGEMENT_OPER
AMRL_JUDGEMENT_STATUS,AMRL_JUDGEMENT_STATUS
AMRL_JUDGEMENT_RESULT,AMRL_JUDGEMENT_RESULT
AMRL_SETUP_OPER,AMRL_SETUP_OPER
AMRL_SETUP_STATUS,AMRL_SETUP_STATUS
AMRL_DECLINE_REASON_1,AMRL_DECLINE_REASON_1
AMRL_DECLINE_REASON_2,AMRL_DECLINE_REASON_2
AMRL_DECLINE_REASON_3,AMRL_DECLINE_REASON_3
AMRL_DECLINE_REASON_4,AMRL_DECLINE_REASON_4
AMRL_DECLINE_REASON_5,AMRL_DECLINE_REASON_5
AMRL_DECLINE_REASON_6,AMRL_DECLINE_REASON_6
AMRL_DECLINE_REASON_7,AMRL_DECLINE_REASON_7
AMRL_DECLINE_REASON_8,AMRL_DECLINE_REASON_8
AMRL_DECLINE_REASON_9,AMRL_DECLINE_REASON_9
AMRL_DECLINE_REASON_10,AMRL_DECLINE_REASON_10
AMRL_DECLINE_REASON_11,AMRL_DECLINE_REASON_11
AMRL_DECLINE_REASON_12,AMRL_DECLINE_REASON_12
AMRL_DECLINE_REASON_13,AMRL_DECLINE_REASON_13
AMRL_DECLINE_REASON_14,AMRL_DECLINE_REASON_14
AMRL_DECLINE_REASON_15,AMRL_DECLINE_REASON_15
AMRL_DECLINE_REASON_16,AMRL_DECLINE_REASON_16
AMRL_DECLINE_REASON_17,AMRL_DECLINE_REASON_17
AMRL_DECLINE_REASON_18,AMRL_DECLINE_REASON_18
AMRL_DECLINE_REASON_19,AMRL_DECLINE_REASON_19
AMRL_DECLINE_REASON_20,AMRL_DECLINE_REASON_20
AMRL_DECLINE_REASON_21,AMRL_DECLINE_REASON_21
AMRL_DECLINE_REASON_22,AMRL_DECLINE_REASON_22
AMRL_DECLINE_REASON_23,AMRL_DECLINE_REASON_23
AMRL_DECLINE_REASON_24,AMRL_DECLINE_REASON_24
AMRL_DECLINE_REASON_25,AMRL_DECLINE_REASON_25
AMRL_DECLINE_REASON_26,AMRL_DECLINE_REASON_26
AMRL_DECLINE_REASON_27,AMRL_DECLINE_REASON_27
AMRL_DECLINE_REASON_28,AMRL_DECLINE_REASON_28
AMRL_DECLINE_REASON_29,AMRL_DECLINE_REASON_29
AMRL_DECLINE_REASON_30,AMRL_DECLINE_REASON_30
AMRL_DECLINE_REASON_31,AMRL_DECLINE_REASON_31
AMRL_DECLINE_REASON_32,AMRL_DECLINE_REASON_32
AMRL_DECLINE_REASON_33,AMRL_DECLINE_REASON_33
AMRL_DECLINE_REASON_34,AMRL_DECLINE_REASON_34
AMRL_DECLINE_REASON_35,AMRL_DECLINE_REASON_35
AMRL_DECLINE_REASON_36,AMRL_DECLINE_REASON_36
AMRL_DECLINE_REASON_37,AMRL_DECLINE_REASON_37
